Device Name,Route,Next Hop
spine2,10.200.228.0/24,[]
spine2,10.200.24.0/24,[]
spine2,10.200.185.0/24,[]
spine2,10.200.8.0/24,[]
spine2,10.200.212.0/24,[]
spine2,10.200.222.0/24,[]
spine2,10.200.162.0/24,[]
spine2,192.168.0.0/24,[{u'interface': u'Management1'}]
spine2,10.200.164.0/24,[]
spine2,10.200.0.0/24,[]
spine2,172.16.0.4/32,[{u'interface': u'Ethernet3', u'nexthopAddr': u'172.16.200.22'}]
spine2,10.200.137.0/24,[]
spine2,10.200.218.0/24,[]
spine2,10.200.230.0/24,[]
spine2,10.200.126.0/24,[]
spine2,10.200.227.0/24,[]
spine2,172.16.200.28/30,[{u'interface': u'Ethernet5'}]
spine2,10.200.179.0/24,[]
spine2,10.200.64.0/24,[]
spine2,10.200.157.0/24,[]
spine2,10.200.83.0/24,[]
spine2,10.200.86.0/24,[]
spine2,10.200.152.0/24,[]
spine2,10.200.44.0/24,[]
spine2,10.200.49.0/24,[]
spine2,10.200.176.0/24,[]
spine2,10.200.37.0/24,[]
spine2,172.16.200.4/30,[{u'interface': u'Ethernet3', u'nexthopAddr': u'172.16.200.22'}]
spine2,10.200.203.0/24,[]
spine2,10.55.3.0/24,[]
spine2,10.200.243.0/24,[]
spine2,10.200.238.0/24,[]
spine2,10.200.146.0/24,[]
spine2,10.200.61.0/24,[]
spine2,172.16.0.5/32,[{u'interface': u'Ethernet4', u'nexthopAddr': u'172.16.200.26'}]
spine2,10.200.110.0/24,[]
spine2,10.200.151.0/24,[]
spine2,10.200.138.0/24,[]
spine2,10.200.219.0/24,[]
spine2,10.200.41.0/24,[]
spine2,10.200.80.0/24,[]
spine2,10.200.154.0/24,[]
spine2,10.200.236.0/24,[]
spine2,10.200.91.0/24,[]
spine2,10.200.114.0/24,[]
spine2,10.200.92.0/24,[]
spine2,10.200.198.0/24,[]
spine2,10.200.239.0/24,[]
spine2,10.200.14.0/24,[]
spine2,10.200.20.0/24,[]
spine2,10.200.45.0/24,[]
spine2,10.200.247.0/24,[]
spine2,10.200.116.0/24,[]
spine2,10.200.5.0/24,[]
spine2,10.200.89.0/24,[]
spine2,10.55.13.0/24,[]
spine2,10.55.16.0/24,[]
spine2,10.200.148.0/24,[]
spine2,10.200.95.0/24,[]
spine2,172.16.0.1/32,[{u'interface': u'Ethernet2', u'nexthopAddr': u'172.16.200.18'}, {u'interface': u'Ethernet3', u'nexthopAddr': u'172.16.200.22'}, {u'interface': u'Ethernet4', u'nexthopAddr': u'172.16.200.26'}, {u'interface': u'Ethernet5', u'nexthopAddr': u'172.16.200.30'}]
spine2,10.200.31.0/24,[]
spine2,10.200.85.0/24,[]
spine2,10.200.26.0/24,[]
spine2,10.200.187.0/24,[]
spine2,10.200.128.0/24,[]
spine2,10.200.104.0/24,[]
spine2,10.200.82.0/24,[]
spine2,10.200.156.0/24,[]
spine2,10.200.125.0/24,[]
spine2,10.200.36.0/24,[]
spine2,10.200.15.0/24,[]
spine2,10.200.181.0/24,[]
spine2,10.200.208.0/24,[]
spine2,10.200.199.0/24,[]
spine2,10.200.163.0/24,[]
spine2,10.200.47.0/24,[]
spine2,10.200.25.0/24,[]
spine2,10.55.2.0/24,[]
spine2,10.55.15.0/24,[]
spine2,10.200.98.0/24,[]
spine2,10.200.66.0/24,[]
spine2,10.200.111.0/24,[]
spine2,10.200.246.0/24,[]
spine2,10.200.84.0/24,[]
spine2,10.200.150.0/24,[]
spine2,10.200.192.0/24,[]
spine2,10.200.254.0/24,[]
spine2,10.200.235.0/24,[]
spine2,10.200.3.0/24,[]
spine2,10.200.100.0/24,[]
spine2,10.200.115.0/24,[]
spine2,10.200.251.0/24,[]
spine2,10.200.35.0/24,[]
spine2,10.200.87.0/24,[]
spine2,10.200.131.0/24,[]
spine2,10.200.142.0/24,[]
spine2,10.200.134.0/24,[]
spine2,10.200.22.0/24,[]
spine2,10.200.183.0/24,[]
spine2,10.200.65.0/24,[]
spine2,10.200.253.0/24,[]
spine2,10.200.196.0/24,[]
spine2,10.200.88.0/24,[]
spine2,10.200.11.0/24,[]
spine2,10.200.229.0/24,[]
spine2,10.55.5.0/24,[]
spine2,10.200.249.0/24,[]
spine2,10.200.233.0/24,[]
spine2,10.200.225.0/24,[]
spine2,10.55.17.0/24,[]
spine2,10.200.58.0/24,[]
spine2,10.200.108.0/24,[]
spine2,10.200.30.0/24,[]
spine2,10.200.201.0/24,[]
spine2,10.200.67.0/24,[]
spine2,10.200.13.0/24,[]
spine2,10.200.51.0/24,[]
spine2,10.200.27.0/24,[]
spine2,10.200.132.0/24,[]
spine2,10.200.119.0/24,[]
spine2,10.200.109.0/24,[]
